key_resp.keys,key_resp.corr,tilt,,Hit,Miss,False Alarm,Correct Rejection,,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,,,
up,0,1,,,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,Respond YES,Respond NO,,,prop hit = hit/hit+miss,,,0.631067961
down,1,-3,,,,,1,,,Signal Present,Hit,Miss,,,prop fa = fa/fa+correct rejection,,,0.546391753
up,1,0,,1,,,,,,Signal Absent,False Alarm,Correct Rejection,,,,,,
up,1,0,,1,,,,,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,d-prime = z(prop hit)-z(prop fa),,,0.218132987
up,1,0,,1,,,,,,,Respond YES,Respond NO,,,c = -z(prop hit) + z(prop fa)/2,,,-0.225616704
down,1,-2,,,,,1,,,Signal Present,65,38,,,,,,
up,0,-3,,,,1,,,,Signal Absent,53,44,,,,,,
up,0,4,,,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,,
down,1,4,,,,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,,
down,1,-3,,,,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,,
up,0,2,,,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,,
up,0,2,,,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,,,
up,0,-3,,,,1,,,,,,,,,,,,
down,1,-2,,,,,1,,,,,,,,,,,
up,0,-3,,,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,,
up,0,3,,,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,,
down,1,-2,,,,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,,
up,0,1,,,,1,,,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,,,
up,0,-4,,,,1,,,,,,,,,,,,
up,0,-2,,,,1,,,,,,,,,,,,
down,1,-3,,,,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,,,
up,0,3,,,,1,,,,,,,,,,,,
up,0,2,,,,1,,,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,,
down,1,-3,,,,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,,
up,0,2,,,,1,,,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,,,
up,0,2,,,,1,,,,,,,,,,,,
down,1,2,,,,,1,,,,,,,,,,,
up,0,4,,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,,
up,0,2,,,,1,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,,
up,0,-4,,,,1,,,,,,,,,,,,
down,1,-5,,,,,1,,,,,,,,,,,
down,1,3,,,,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,,,
up,0,-4,,,,1,,,,,,,,,,,,
down,1,-4,,,,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,,,
up,0,1,,,,1,,,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,,,,
up,0,1,,,,1,,,,,,,,,,,,
up,0,-3,,,,1,,,,,,,,,,,,
